customer_id,customer_name,customer_mobile                         ,frequency
vm0hAES5,jack.vm0hAES5,+886900284928,11
qTHjJ6K5,rosa.qTHjJ6K5,+886961714302,7
kWgnsCiX,tommy.kWgnsCiX,+886983180693,20
uGhfIC2M,jack.uGhfIC2M,+886945103734,13
P3L8cVnI,john.P3L8cVnI,+886988563587,6
r8Ux8zUf,peter.r8Ux8zUf,+886974624145,5
c2ej5STm,tommy.c2ej5STm,+886921650318,14
nwVxaHr4,jason.nwVxaHr4,+886966050296,9
aAKOsakL,tom.aAKOsakL,+886934222842,16
JdYmVEFs,dora.JdYmVEFs,+886918817070,0
Ui1eGTes,dora.Ui1eGTes,+886966698694,18
pp000WaJ,peter.pp000WaJ,+886960422554,8
ZsDMICX9,jason.ZsDMICX9,+886942805667,19
OALOCzcL,peter.OALOCzcL,+886988358807,14
EVzsflwT,peter.EVzsflwT,+886919398474,3
e9jf4lki,hank.e9jf4lki,+886982520131,16
m2aLrxAj,hank.m2aLrxAj,+886932804931,0
E1ruINHU,rosa.E1ruINHU,+886904991497,14
bThd6622,tom.bThd6622,+886969926130,2
NoTJWKXn,john.NoTJWKXn,+886910749966,12
d9k3wdZD,dora.d9k3wdZD,+886966012948,17
aZ9XlmJN,john.aZ9XlmJN,+886988706717,9
XYr2IgXX,rosa.XYr2IgXX,+886907181805,16
hKASW28P,john.hKASW28P,+886944357127,14
HrQiQzhU,amy.HrQiQzhU,+886968130857,0
niv2y2ES,jason.niv2y2ES,+886904130541,9
CG3pYWnP,peter.CG3pYWnP,+886971900633,8
I6Lqdufn,tom.I6Lqdufn,+886970947478,11
q4aQ2g7c,john.q4aQ2g7c,+886969659565,11
h0n6eLTB,dora.h0n6eLTB,+886930402323,1
HzpdU5Kf,rosa.HzpdU5Kf,+886914641023,13
tUc6sGgK,tom.tUc6sGgK,+886953125693,2
jWFf62WQ,john.jWFf62WQ,+886924443434,4
islDzZMe,hank.islDzZMe,+886996344859,16
RJe8mcOn,tom.RJe8mcOn,+886994425255,9
HA2Tt3tv,tommy.HA2Tt3tv,+886930823535,12
NwUBNjDe,tommy.NwUBNjDe,+886977978682,7
o4Zu4Yxo,john.o4Zu4Yxo,+886955976193,5
udG6wINM,jason.udG6wINM,+886971250855,5
YaJY1MfM,john.YaJY1MfM,+886919300717,11
IMZRPlbO,jack.IMZRPlbO,+886926894258,11
W5gwV9Zl,rosa.W5gwV9Zl,+886950705260,12
yfgoifx4,john.yfgoifx4,+886995126310,12
te9yQSp0,hank.te9yQSp0,+886928502915,20
qKoc3SGa,dora.qKoc3SGa,+886939203166,16
jYyIKKil,amy.jYyIKKil,+886964745633,12
MNrMntQ0,tom.MNrMntQ0,+886918069311,6
zg7aJBlV,jason.zg7aJBlV,+886991600813,12
XdvOfjlg,hank.XdvOfjlg,+886953741252,6
zMtThCqP,peter.zMtThCqP,+886969984804,9
Jur6byTM,jack.Jur6byTM,+886908321266,14
x8nceqVS,peter.x8nceqVS,+886943903280,15
PqxCjEWV,jack.PqxCjEWV,+886903602969,12
BmQunT4R,peter.BmQunT4R,+886991669475,18
V7MXxXLL,tom.V7MXxXLL,+886974521341,17
A87rWc0e,john.A87rWc0e,+886914992038,10
EQT6IacN,amy.EQT6IacN,+886945526661,1
DduCReXS,jason.DduCReXS,+886916656790,14
rN5RyyBE,amy.rN5RyyBE,+886956232063,7
WhUMtbz0,tom.WhUMtbz0,+886936667307,9
z6seW6fj,jack.z6seW6fj,+886940918534,14
iZz9LKIO,peter.iZz9LKIO,+886932032163,6
hDylwij0,amy.hDylwij0,+886938330148,15
mrFUtJjG,john.mrFUtJjG,+886953285042,10
lVxG4aU2,tom.lVxG4aU2,+886986677771,4
S338okXp,hank.S338okXp,+886977235926,17
iEox8sXq,john.iEox8sXq,+886976861559,16
RdxdslBn,john.RdxdslBn,+886906967254,19
TnsUONA2,dora.TnsUONA2,+886993114133,8
r9CDIjkH,rosa.r9CDIjkH,+886956304597,20
GYqgDU6v,dora.GYqgDU6v,+886990368147,0
d8zsi2JS,tom.d8zsi2JS,+886967526699,9
o5smsFDC,hank.o5smsFDC,+886974414781,8
LUfUAAxA,dora.LUfUAAxA,+886989638780,9
CwXNRyrH,hank.CwXNRyrH,+886923572918,5
QHOqzPM7,amy.QHOqzPM7,+886901058641,20
oXQTRzdT,john.oXQTRzdT,+886921698781,9
PD651Qyd,peter.PD651Qyd,+886931216091,16
O4auAcic,amy.O4auAcic,+886941320337,14
lU3mu3XZ,john.lU3mu3XZ,+886979242646,3
v6gCVqsw,tommy.v6gCVqsw,+886996248151,13
RWe9GIdz,dora.RWe9GIdz,+886941328297,5
e43s4VRL,jason.e43s4VRL,+886906658145,16
y9f3TY1j,dora.y9f3TY1j,+886962647654,14
wVAuGnEQ,peter.wVAuGnEQ,+886902620076,0
Ht1kVoHI,jason.Ht1kVoHI,+886943902798,1
ttbSrEhj,john.ttbSrEhj,+886977525177,14
Tni09yn9,hank.Tni09yn9,+886981119121,2
E8OOetao,hank.E8OOetao,+886939633222,3
FYl13MnV,rosa.FYl13MnV,+886909738644,18
SlL3Q3Lo,dora.SlL3Q3Lo,+886932816942,0
E4OEM8el,tom.E4OEM8el,+886992563347,6
Qn5BncFu,hank.Qn5BncFu,+886999331241,9
oNNxZlo5,tommy.oNNxZlo5,+886905724168,2
YPShkelo,tommy.YPShkelo,+886912287697,12
alDYvseI,john.alDYvseI,+886992768570,15
ijKKzkfY,tom.ijKKzkfY,+886910940449,17
hsLv4O6B,jack.hsLv4O6B,+886933858557,11
uehTYfpp,tom.uehTYfpp,+886980840304,17
rSPNIkTt,jack.rSPNIkTt,+886948861811,7
fseMVV7G,tom.fseMVV7G,+886900679161,1
rVPEviyN,john.rVPEviyN,+886949727974,9
ygvq50hR,dora.ygvq50hR,+886908133145,14
yABazLWx,tom.yABazLWx,+886942976718,4
sj96EZKU,jason.sj96EZKU,+886929045437,17
J87tZBEX,dora.J87tZBEX,+886971334020,12
aad3tau0,peter.aad3tau0,+886917649948,3
oqIEjvAB,tommy.oqIEjvAB,+886980005623,14
ebhHcbOz,dora.ebhHcbOz,+886926431592,19
bZgDBRNR,john.bZgDBRNR,+886908961312,12
kzuhDbId,amy.kzuhDbId,+886943609981,11
wMnPheph,jason.wMnPheph,+886935712134,0
mK6HZ45R,tommy.mK6HZ45R,+886941726162,20
EJuo0nBw,john.EJuo0nBw,+886938753934,2
GPo4ynSK,dora.GPo4ynSK,+886950036134,2
pStf8eAo,hank.pStf8eAo,+886990760897,13
WQhWrIr6,tom.WQhWrIr6,+886917482288,13
F5C2Xw2j,rosa.F5C2Xw2j,+886973653666,17
yDgmuxV0,tom.yDgmuxV0,+886996331555,15
veN1oiJy,rosa.veN1oiJy,+886913209705,4
yl5Zqad7,tommy.yl5Zqad7,+886997860705,16
No8HOAx5,amy.No8HOAx5,+886931596923,3
eicdPLip,rosa.eicdPLip,+886975215125,17
z8fAzLBj,dora.z8fAzLBj,+886935471893,7
P4weLUkn,john.P4weLUkn,+886921751494,20
EZdZSjbc,jack.EZdZSjbc,+886949302972,13
TfjobmZT,john.TfjobmZT,+886915979554,17
drsQFnpW,tom.drsQFnpW,+886954010769,11
rP2aCsod,rosa.rP2aCsod,+886901988635,9
K0CYIAbF,john.K0CYIAbF,+886963083175,20
azu1Ik2d,tom.azu1Ik2d,+886903873289,15
gHha16CM,amy.gHha16CM,+886953605332,18
rriYTxu9,peter.rriYTxu9,+886932165075,14
UEAeM378,jason.UEAeM378,+886924435234,14
N5nJUbKW,jack.N5nJUbKW,+886921728011,2
VLK5Vpe6,amy.VLK5Vpe6,+886948709911,13
nSlrLPUK,dora.nSlrLPUK,+886979485690,5
PlfmGtUY,amy.PlfmGtUY,+886991065117,17
J2r6VlcQ,jason.J2r6VlcQ,+886951086626,11
kpYjeint,jason.kpYjeint,+886984771223,12
nR1anZxG,hank.nR1anZxG,+886950771127,19
xOmHsN26,jason.xOmHsN26,+886965218138,6
HQbGxqBW,dora.HQbGxqBW,+886944151043,9
Isw2Z3zi,tom.Isw2Z3zi,+886952239025,5
u5tpgcnl,john.u5tpgcnl,+886904707294,7
PhbfccsR,amy.PhbfccsR,+886929510177,0
FTB7ocxU,john.FTB7ocxU,+886962249769,7
fqhHDvzv,jason.fqhHDvzv,+886912026181,14
iuCZBnzM,jason.iuCZBnzM,+886923221546,14
uUQbJDgq,tommy.uUQbJDgq,+886925955699,4
PLfmPUHM,amy.PLfmPUHM,+886991311216,0
dpPS84Dk,rosa.dpPS84Dk,+886993198224,12
bFdTTmwJ,rosa.bFdTTmwJ,+886948954910,2
ksa74q6p,john.ksa74q6p,+886978988416,20
B8viySSt,jack.B8viySSt,+886956532724,3
tOiJ6SBP,dora.tOiJ6SBP,+886963793140,12
X3cpuRWf,hank.X3cpuRWf,+886937578753,17
jmwyKLlH,rosa.jmwyKLlH,+886935165594,14
WtW8Y4wM,tommy.WtW8Y4wM,+886978507013,4
A28d1N7w,jack.A28d1N7w,+886965117906,18
vRjjt9Tm,jack.vRjjt9Tm,+886910563692,0
qD3b6fbT,tom.qD3b6fbT,+886911015123,7
K6x861jj,rosa.K6x861jj,+886951676290,11
m11lOqtG,amy.m11lOqtG,+886982960497,14
ytbpRNuT,peter.ytbpRNuT,+886918441977,12
WqkDEgDZ,hank.WqkDEgDZ,+886933619896,7
OTZ6cfbt,peter.OTZ6cfbt,+886925557519,10
HXGcHYQ3,dora.HXGcHYQ3,+886987860704,20
Udqsk4Ok,john.Udqsk4Ok,+886938198991,4
DEAJZh9x,jack.DEAJZh9x,+886968899439,8
kumR28xx,jason.kumR28xx,+886923653434,20
zBm8Q0u2,jack.zBm8Q0u2,+886967015726,11
QVKffAsO,tommy.QVKffAsO,+886932989353,0
oBH6gmTO,tommy.oBH6gmTO,+886927645244,18
MnZK5e8A,john.MnZK5e8A,+886956611105,13
c6Up0vPV,amy.c6Up0vPV,+886991387637,1
ihdCO7J3,peter.ihdCO7J3,+886917763603,15
Plzxh6RI,rosa.Plzxh6RI,+886903736046,0
nyUqiFvt,jason.nyUqiFvt,+886919667775,16
FwWwgkxJ,tommy.FwWwgkxJ,+886904803763,13
mTI3jXab,tom.mTI3jXab,+886967243076,15
Ng8Ulkn6,hank.Ng8Ulkn6,+886928547615,0
TgBIuyLy,dora.TgBIuyLy,+886988195189,11
SCbm6Vs7,rosa.SCbm6Vs7,+886905181801,4
sifbf7Mr,dora.sifbf7Mr,+886929622848,6
iOSjThzH,dora.iOSjThzH,+886982856024,0
vBDYoc1y,jason.vBDYoc1y,+886993274970,8
IIRvt9EJ,rosa.IIRvt9EJ,+886929908146,17
neMKmLiW,john.neMKmLiW,+886973658257,17
HmueHNeQ,amy.HmueHNeQ,+886997177898,0
F1Qkfbe2,dora.F1Qkfbe2,+886998495854,10
cN5HMefs,jason.cN5HMefs,+886948029544,4
Jtr8F1ue,hank.Jtr8F1ue,+886997052282,10
jjRf4JmQ,peter.jjRf4JmQ,+886967665341,18
zn9YpjW1,tommy.zn9YpjW1,+886936294865,6
z6GOIYIt,tommy.z6GOIYIt,+886988985219,2
td5NKRBd,tommy.td5NKRBd,+886958545219,3
yhVC2O5C,john.yhVC2O5C,+886900270678,19
wPAMOio0,peter.wPAMOio0,+886951180159,5
gR1rpNN5,tom.gR1rpNN5,+886995326526,13
MevjuFwv,hank.MevjuFwv,+886939302435,11
kXQTF9fs,john.kXQTF9fs,+886917129283,19
prv1uzwm,amy.prv1uzwm,+886973577627,8
Yd3AHo7k,tom.Yd3AHo7k,+886931733492,12
y3pWYgZ6,jack.y3pWYgZ6,+886939442093,4
fJ30w9HZ,amy.fJ30w9HZ,+886983547482,18
eBrblUvr,tom.eBrblUvr,+886949215253,9
zaWDas6s,jack.zaWDas6s,+886947857514,9
IwDkWh3m,tommy.IwDkWh3m,+886979344203,5
OWRCo4bc,amy.OWRCo4bc,+886968676655,10
mbzSH3tm,john.mbzSH3tm,+886931178492,16
a8bYoHDh,tommy.a8bYoHDh,+886955321944,3
chfDSjeS,jason.chfDSjeS,+886904785191,19
dyRngaeq,amy.dyRngaeq,+886974951230,18
Y5FLknv9,rosa.Y5FLknv9,+886992639797,2
NjSB5xR8,peter.NjSB5xR8,+886940069592,7
YFhg5nU9,jason.YFhg5nU9,+886945275034,16
WRFMpGvK,jason.WRFMpGvK,+886903820002,17
lgvaqok5,hank.lgvaqok5,+886966208006,8
FKwe7YX4,tom.FKwe7YX4,+886918933431,17
oq6bwQ9X,hank.oq6bwQ9X,+886923617183,7
ASj30de2,hank.ASj30de2,+886993855986,11
NfXNLafd,jason.NfXNLafd,+886938555807,10
fKpa7rrY,rosa.fKpa7rrY,+886961518277,2
km1LuzT2,peter.km1LuzT2,+886966553382,9
SM2ognBC,amy.SM2ognBC,+886945502706,10
hN0FRJDp,tom.hN0FRJDp,+886989150409,15
WjWnUaP7,rosa.WjWnUaP7,+886986306027,8
uun8FsEy,john.uun8FsEy,+886993881303,10
gKdGBN9I,peter.gKdGBN9I,+886930609802,10
i9csDj6K,dora.i9csDj6K,+886910433283,3
Us01keXE,tommy.Us01keXE,+886973321180,10
nmgYxyJi,rosa.nmgYxyJi,+886919626680,17
kcMA7w39,rosa.kcMA7w39,+886939097008,4
bXay3eu7,hank.bXay3eu7,+886966574854,20
zBKIA5HI,rosa.zBKIA5HI,+886959811364,1
thcNCEiP,tommy.thcNCEiP,+886955635214,13
lyzHLSE3,peter.lyzHLSE3,+886969946633,13
Y2YD3uXb,jack.Y2YD3uXb,+886990285441,8
sXEXxLsi,dora.sXEXxLsi,+886907745823,14
bOVN7Jis,hank.bOVN7Jis,+886970701816,18
Q7ljxkxe,tommy.Q7ljxkxe,+886995725522,17
qtl2DLUf,rosa.qtl2DLUf,+886967863521,0
cpjZJAmZ,amy.cpjZJAmZ,+886909090211,20
WCeQkyEh,peter.WCeQkyEh,+886918210149,4
GoVJ4SdS,tom.GoVJ4SdS,+886922656036,10
T2QKKgZe,amy.T2QKKgZe,+886992169433,5
t0bQSvWp,jack.t0bQSvWp,+886970339815,13
y42M31Ca,rosa.y42M31Ca,+886914965539,7
yBq9DcwM,tom.yBq9DcwM,+886961664505,8
Liu7FoBg,jack.Liu7FoBg,+886949051886,14
F5lo6vwa,john.F5lo6vwa,+886949058498,1
VmNmfC54,jason.VmNmfC54,+886983318554,19
A2OTVFjM,jack.A2OTVFjM,+886925073781,7
SsuyfZNg,jack.SsuyfZNg,+886940951929,8
BJhZM5OY,dora.BJhZM5OY,+886917485018,14
BtOULvgW,jason.BtOULvgW,+886926179774,15
MCTzQqEp,jack.MCTzQqEp,+886914152445,5
WxN1IETR,tom.WxN1IETR,+886971021275,14
ESHRGphL,jason.ESHRGphL,+886984401596,13
JNlmtcyG,amy.JNlmtcyG,+886942687637,3
LFNfQyOM,rosa.LFNfQyOM,+886929979662,12
hjL61mXN,peter.hjL61mXN,+886916404777,2
DwpuVO2Q,peter.DwpuVO2Q,+886921627335,2
Abj0f9cA,hank.Abj0f9cA,+886991485735,14
uB161Ou0,rosa.uB161Ou0,+886956511082,15
YmjxBhbZ,peter.YmjxBhbZ,+886936799323,8
wFnp8Su4,hank.wFnp8Su4,+886953145010,12
v0ztSz1c,tommy.v0ztSz1c,+886974041844,0
SAzCrf66,jason.SAzCrf66,+886910042219,1
kqDGInTq,john.kqDGInTq,+886904184653,1
md3APsLs,jack.md3APsLs,+886967926384,20
ZeG9k2Kc,hank.ZeG9k2Kc,+886909814713,17
tgujjrow,amy.tgujjrow,+886962833808,11
Wp4LqmmQ,hank.Wp4LqmmQ,+886996543411,10
g5sS6l5T,tommy.g5sS6l5T,+886950971700,0
JhCkpgD3,amy.JhCkpgD3,+886911747810,20
XVvP96IG,jack.XVvP96IG,+886902683722,3
xz5IwrGX,jason.xz5IwrGX,+886949651927,17
XbLBLVV6,jack.XbLBLVV6,+886990551911,7
oKOjjDuH,peter.oKOjjDuH,+886937802280,7
mlvUKmfo,tommy.mlvUKmfo,+886998438321,4
GFcJu2wn,jason.GFcJu2wn,+886967544138,11
gJ3mlyZe,tom.gJ3mlyZe,+886967030832,4
sbH3Iso9,jason.sbH3Iso9,+886970049446,9
RWnoi3Jf,tommy.RWnoi3Jf,+886947235848,12
XjxxbB6a,rosa.XjxxbB6a,+886989794898,8
Es0wzaLv,dora.Es0wzaLv,+886937708055,2
XFXaBxD3,tommy.XFXaBxD3,+886917832511,5
HZYKjm59,dora.HZYKjm59,+886955709292,15
py7gGUjb,hank.py7gGUjb,+886965505576,4
QmLJ8jGz,jason.QmLJ8jGz,+886960153909,18
bcSjUmmv,jack.bcSjUmmv,+886990264515,11
vyyCHcSZ,tom.vyyCHcSZ,+886935594414,16
iVeClZQd,tommy.iVeClZQd,+886991850352,0
pIFTtgJe,jason.pIFTtgJe,+886913918558,16
DsqZ17Ru,tom.DsqZ17Ru,+886933869635,15
VvJkjRE8,jack.VvJkjRE8,+886995534310,6
QVbGfIPL,amy.QVbGfIPL,+886995314497,3
heMHFI7F,dora.heMHFI7F,+886930525201,11
LAAXyx8l,jason.LAAXyx8l,+886940504748,7
Pd72qNeD,hank.Pd72qNeD,+886967570149,13
fNIPNOXf,amy.fNIPNOXf,+886975773384,3
C1o8YqlE,peter.C1o8YqlE,+886958424125,18
CqBUSn3G,hank.CqBUSn3G,+886944994449,10
bYkS6Yb9,jason.bYkS6Yb9,+886957376310,9
